image_path,source_dataset,source_label,unified_label
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_030.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_031.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_032.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_034.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_035.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_036.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_037.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_038.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_039.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_040.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_041.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_042.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_044.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_046.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_047.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_048.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_049.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_050.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_051.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_052.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_053.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_054.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_055.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_056.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_057.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_058.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_060.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_061.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_062.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_063.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_064.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_066.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_067.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_069.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_070.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_071.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_072.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_073.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_074.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_075.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_076.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_077.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_078.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_079.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_080.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_081.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_082.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_083.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_084.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_085.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_086.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_087.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_088.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_089.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_090.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_091.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_093.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_095.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_096.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_097.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_098.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_099.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_100.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_101.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_102.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_103.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_104.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_105.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_106.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_107.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_109.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_110.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_111.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_112.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_113.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_114.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_116.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_117.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_118.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_119.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_120.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_121.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_122.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_124.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_126.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_128.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_129.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_130.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_131.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_132.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_133.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_134.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_135.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_136.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_137.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_138.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_139.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_140.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_141.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_142.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_143.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_144.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_145.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_146.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_147.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_148.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_149.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_151.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_152.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_154.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_156.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_158.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_159.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_160.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_161.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_164.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_165.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_169.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_170.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_171.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_172.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_173.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_174.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_175.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_177.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_178.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_179.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_180.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_181.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_182.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_183.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_184.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_187.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_188.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_189.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_190.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_192.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_193.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_194.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_195.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_196.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_197.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_198.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_199.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_200.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_201.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_202.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_203.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_204.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_206.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_207.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_209.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_210.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_212.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_213.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_214.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_215.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_216.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_217.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_218.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_219.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_220.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_221.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_222.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_223.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_224.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_225.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_226.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_227.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_228.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_229.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_230.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_231.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_232.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_233.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_234.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_235.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_236.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_237.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_239.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_241.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_242.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_243.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_244.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_245.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_246.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_247.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_248.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_249.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_250.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_253.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_255.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_256.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_257.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_258.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_259.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_260.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_263.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_264.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_265.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_266.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_267.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_268.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_269.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_270.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_271.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_272.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_274.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_275.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_276.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_277.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_278.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_279.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_280.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_281.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_282.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_283.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_285.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_286.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_287.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_288.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_289.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_290.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_291.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_292.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_294.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_295.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_296.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_297.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_298.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_299.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_300.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_301.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_302.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_304.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_306.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_307.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_308.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_309.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_310.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_311.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_312.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_313.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_314.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_315.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_316.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_317.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_319.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_320.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_321.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_322.jpg,bd3,algae,mold_algae
data/raw/bd3/algae/BD3_original_dataset__train__algae__cls00_323.jpg,bd3,algae,mold_algae
